"","Richness","Species","Site","Year","Forest.type","N.Sus","Presence"
"78",71,"Lonicera xylosteum","BOL1",2005,"Boreal forest",12,0
"79",71,"Luzula albida","BOL1",2005,"Boreal forest",12,1
"80",71,"Luzula forsteri","BOL1",2005,"Boreal forest",12,0
"81",71,"Luzula luzulina","BOL1",2005,"Boreal forest",12,1
"82",71,"Luzula sieberi","BOL1",2005,"Boreal forest",12,1
"83",71,"Luzula sylvatica","BOL1",2005,"Boreal forest",12,0
"84",71,"Lycopodium annotinum","BOL1",2005,"Boreal forest",12,1
"85",71,"Maianthemum bifolium","BOL1",2005,"Boreal forest",12,0
"86",71,"Malus sylvestris","BOL1",2005,"Boreal forest",12,0
"87",71,"Melampyrum pratense","BOL1",2005,"Boreal forest",12,1
"88",71,"Melica uniflora","BOL1",2005,"Boreal forest",12,0
"89",71,"Mercurialis perennis","BOL1",2005,"Boreal forest",12,0
"90",71,"Mespilus germanica","BOL1",2005,"Boreal forest",12,0
"91",71,"Milium effusum","BOL1",2005,"Boreal forest",12,0
"92",71,"Moehringia trinervia","BOL1",2005,"Boreal forest",12,0
"93",71,"Molinia arundinacea","BOL1",2005,"Boreal forest",12,0
"94",71,"Molinia coerulea","BOL1",2005,"Boreal forest",12,1
"95",71,"Monotropa hypopitys","BOL1",2005,"Boreal forest",12,0
"96",71,"Mycelis muralis","BOL1",2005,"Boreal forest",12,0
"97",71,"Myosotis sylvatica","BOL1",2005,"Boreal forest",12,0
"98",71,"Myrtus communis","BOL1",2005,"Boreal forest",12,0
"99",71,"Neottia nidus-avis","BOL1",2005,"Boreal forest",12,0
"100",71,"Olea europaea","BOL1",2005,"Boreal forest",12,0
"101",71,"Oryzopsis miliacea","BOL1",2005,"Boreal forest",12,0
"102",71,"Oxalis acetosella","BOL1",2005,"Boreal forest",12,1
"103",71,"Paris quadrifolia","BOL1",2005,"Boreal forest",12,0
"104",71,"Petasites albus","BOL1",2005,"Boreal forest",12,0
"105",71,"Phegopteris polypodioides","BOL1",2005,"Boreal forest",12,0
"106",71,"Physospermum cornubiense","BOL1",2005,"Boreal forest",12,0
"107",71,"Phyteuma betonicifolium","BOL1",2005,"Boreal forest",12,1
"108",71,"Phyteuma orbiculare","BOL1",2005,"Boreal forest",12,0
"109",71,"Picea abies","BOL1",2005,"Boreal forest",12,1
"110",71,"Picris hieracioides","BOL1",2005,"Boreal forest",12,0
"111",71,"Pinus cembra","BOL1",2005,"Boreal forest",12,1
"112",71,"Pinus pinaster","BOL1",2005,"Boreal forest",12,0
"113",71,"Pistacia lentiscus","BOL1",2005,"Boreal forest",12,0
"114",71,"Poa sylvicola","BOL1",2005,"Boreal forest",12,0
"115",71,"Polygonatum odoratum","BOL1",2005,"Boreal forest",12,0
"116",71,"Polygonatum sp.","BOL1",2005,"Boreal forest",12,0
"117",71,"Polygonatum verticillatum","BOL1",2005,"Boreal forest",12,0
"118",71,"Polypodium sp.","BOL1",2005,"Boreal forest",12,0
"119",71,"Potentilla aurea","BOL1",2005,"Boreal forest",12,0
"120",71,"Potentilla erecta","BOL1",2005,"Boreal forest",12,1
"121",71,"Prenanthes purpurea","BOL1",2005,"Boreal forest",12,1
"122",71,"Prunella vulgaris","BOL1",2005,"Boreal forest",12,1
"123",71,"Prunus avium","BOL1",2005,"Boreal forest",12,0
"124",71,"Prunus spinosa","BOL1",2005,"Boreal forest",12,0
"125",71,"Pteridium aquilinum","BOL1",2005,"Boreal forest",12,0
"126",71,"Pyrus pyraster","BOL1",2005,"Boreal forest",12,0
"127",71,"Quercus cerris","BOL1",2005,"Boreal forest",12,0
