Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2001,VAL1,12,53.33,3.61,1356.8,NA,NA,NA,NA,NA,58.49,628.6,8.41,16,9,20.33,38,0.67,10.41,6.33,Boreal forest
2001,VEN1,12,97,9.01,1066.6,NA,NA,NA,NA,NA,66.01,485.3,15,34,10,14.83,33,0,13.42,7.35,Nemoral beech forest
2002,ABR1,12,94.83,11.11,978.8,6.549,0.188,1.196,0.389,0.109,46.91,427.6,15.44,18,18,27.17,22,0.83,15.89,5.47,Nemoral beech forest
2002,CAL1,12,85,14.1,1349.4,NA,NA,NA,NA,NA,75.18,427.2,17.93,33,33,31.33,34,2.25,9.86,5.29,Nemoral beech forest
2002,CAM1,12,93.5,12.46,533.9,NA,NA,NA,NA,NA,59.35,191.9,16.49,36,36,23,35,2.58,24.66,5.45,Nemoral beech forest
2002,EMI1,12,85,13.76,816.6,NA,NA,NA,NA,NA,61.12,379,20.09,31,23,23.46,40,1.22,13.7,7.67,Nemoral oak forest
2002,FRI1,12,92.58,13.72,1046.7,NA,NA,NA,NA,NA,58.69,494.1,19.63,32,9,23.79,53,20.42,11.23,7.11,Nemoral oak forest
2002,LAZ1,12,20.25,15.13,671.1,5.476,0.025,2.106,0.816,0.01,61.31,301.4,19.71,23,20,26.17,51,4.17,7.67,5.9,Nemoral oak forest
2002,LOM1,11,48.18,1.43,1752,NA,NA,NA,NA,NA,94.17,804.7,5.82,22,10,19.5,55,15.82,10.96,5.61,Boreal forest
2002,MAR1,12,68.33,14.41,947,NA,NA,NA,NA,NA,83.12,392.4,19.22,15,15,17.07,59,37.92,21.37,6.32,Nemoral oak forest
2002,SAR1,12,89.17,15.53,759.7,NA,NA,NA,NA,NA,66.95,306.5,19.41,33,33,23.1,24,5.25,15.34,5.5,Mediterranean forest
2002,TOS1,12,84.17,15.32,904.8,NA,NA,NA,NA,NA,54.4,387.2,19.92,29,20,21.33,29,15.25,14.79,5.95,Mediterranean forest
2002,VAL1,12,52.5,4.04,1325.1,NA,NA,NA,NA,NA,51.63,605.6,8.3,22,12,23.39,34,0.75,10.41,5.33,Boreal forest
2002,VEN1,12,96.33,9.46,1636.4,NA,NA,NA,NA,NA,63.51,972.4,14.89,27,9,19.33,35,0,11.51,6.63,Nemoral beech forest
2003,ABR1,12,90.67,11.48,759.7,6.8,0.028,1.6,0.225,0.01,76.98,155.3,17.37,32,32,21.83,19,3.25,20.82,7.23,Nemoral beech forest
